2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=MCG, 名前=中部コンゴ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=MLI, 名前=マリ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=MLW, 名前=マラウィ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=MOR, 名前=モロッコ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=MRT, 名前=モーリタニア
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=MZB, 名前=モザンビーク
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=NGA, 名前=ナイジェリア
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=NGE, 名前=ニジェール
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=NMB, 名前=ナミビア
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=ORO, 名前=オロモ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=RIF, 名前=リーフ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=RWA, 名前=ルワンダ
2025-05-23 09:21:22,230 - controllers.app_controller - INFO - 国家情報を追加: TAG=SEN, 名前=セネガル
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=SIE, 名前=シエラレオネ
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=SOM, 名前=ソマリア
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=SUD, 名前=スーダン
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=TOG, 名前=トーゴ
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=TUN, 名前=チュニジア
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=TZN, 名前=タンザニア
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=UGA, 名前=ウガンダ
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=VOL, 名前=オートボルタ
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=WES, 名前=西サハラ
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=ZAM, 名前=ザンビア
2025-05-23 09:21:22,231 - controllers.app_controller - INFO - 国家情報を追加: TAG=ZIM, 名前=ジンバブエ
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=ARG, 名前=アルゼンチン
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=BAH, 名前=バハマ
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=BLZ, 名前=ベリーズ
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=BOL, 名前=ボリビア
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=BRA, 名前=ブラジル
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=CAY, 名前=カイエンヌ
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=CHL, 名前=チリ
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=COL, 名前=コロンビア
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=COS, 名前=コスタリカ
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=CRC, 名前=キュラソー
2025-05-23 09:21:22,232 - controllers.app_controller - INFO - 国家情報を追加: TAG=CUB, 名前=キューバ
2025-05-23 09:21:22,233 - controllers.app_controller - INFO - 国家情報を追加: TAG=DOM, 名前=ドミニカ
